2025-03-14\ICS-1382\logs\icsLog.txt:[ICS] [03/14/25 14:42:10] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 0. 	Mean DeltaTime = 536. 	Threshold = 50. 	Count = 57317. 	TimeStamp(hh:mm:ss) = 8:33:3.537801
2025-03-14\ICS-1382\logs\icsLog.txt:[ICS] [03/14/25 19:39:38] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 193. 	Threshold = 50. 	Count = 87537. 	TimeStamp(hh:mm:ss) = 4:43:22.920874
2025-03-28\ICS-1380\logs\icsLog.txt:[ICS] [03/28/25 21:10:42] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 165. 	Threshold = 50. 	Count = 328451. 	TimeStamp(hh:mm:ss) = 15:5:22.065634
2025-03-31\ICS-1380\logs\icsLog.txt:[ICS] [03/31/25 06:22:19] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 7682. 	Threshold = 50. 	Count = 159. 	TimeStamp(hh:mm:ss) = 0:20:53.994293
2025-04-14\ICS-1382\logs\icsLog.txt:[ICS] [04/14/25 17:00:05] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 0. 	Mean DeltaTime = 133. 	Threshold = 50. 	Count = 293496. 	TimeStamp(hh:mm:ss) = 10:52:1.052953
2025-06-27\ICS-1375\logs\icsLog.txt:[ICS] [06/27/25 12:12:52] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 131. 	Threshold = 50. 	Count = 170162. 	TimeStamp(hh:mm:ss) = 6:13:38.433387
2025-06-27\ICS-1381\logs\icsLog.txt:[ICS] [06/27/25 09:10:42] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 132. 	Threshold = 50. 	Count = 85223. 	TimeStamp(hh:mm:ss) = 3:8:48.197947
2025-07-08\ICS-1376_F\logs\icsLog.txt:[ICS] [07/08/25 07:39:15] (I) Signal DP2W, 	Rising front 	Current DeltaTime = 0. 	Mean DeltaTime = 702. 	Threshold = 200. 	Count = 8338. 	TimeStamp(hh:mm:ss) = 1:38:14.427864
2025-07-14\ICS-1381\logs\icsLog.txt:[ICS] [07/14/25 22:11:31] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 129. 	Threshold = 50. 	Count = 451859. 	TimeStamp(hh:mm:ss) = 16:14:57.596568
2025-07-16\ICS-1380\logs\icsLog.txt:[ICS] [07/16/25 10:11:37] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 136. 	Threshold = 50. 	Count = 111780. 	TimeStamp(hh:mm:ss) = 4:14:1.985190
2025-07-21\ICS-1380\logs\icsLog.txt:[ICS] [07/21/25 21:07:51] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 167. 	Threshold = 50. 	Count = 324751. 	TimeStamp(hh:mm:ss) = 15:5:0.787647
2025-08-22\ICS-1377_F\logs\icsLog.txt:[ICS] [08/22/25 09:04:54] (I) Signal DP2W, 	Rising front 	Current DeltaTime = 12. 	Mean DeltaTime = 906. 	Threshold = 200. 	Count = 12334. 	TimeStamp(hh:mm:ss) = 3:6:41.125701
2025-08-28\ICS-1381\logs\icsLog.txt:[ICS] [08/28/25 20:13:28] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 145. 	Threshold = 50. 	Count = 351672. 	TimeStamp(hh:mm:ss) = 14:12:13.844104
2025-08-29\ICS-1377_F\logs\icsLog.txt:[ICS] [08/29/25 15:18:12] (I) Signal DP2W, 	Rising front 	Current DeltaTime = 7. 	Mean DeltaTime = 1037. 	Threshold = 200. 	Count = 13206. 	TimeStamp(hh:mm:ss) = 3:48:49.241112
2025-08-30\ICS-1377_F\logs\icsLog.txt:[ICS] [08/30/25 10:07:12] (I) Signal DPGP2, 	Rising front 	Current DeltaTime = 159. 	Mean DeltaTime = 578. 	Threshold = 200. 	Count = 24604. 	TimeStamp(hh:mm:ss) = 3:57:41.503233
2025-08-30\ICS-1377_F\logs\icsLog.txt:[ICS] [08/30/25 10:07:12] (I) Signal DP3W, 	Rising front 	Current DeltaTime = 159. 	Mean DeltaTime = 578. 	Threshold = 200. 	Count = 24604. 	TimeStamp(hh:mm:ss) = 3:57:41.503291
2025-09-03\ICS-1377_F\logs\icsLog.txt:[ICS] [09/03/25 17:20:23] (I) Signal DP2W, 	Rising front 	Current DeltaTime = 7. 	Mean DeltaTime = 580. 	Threshold = 200. 	Count = 69703. 	TimeStamp(hh:mm:ss) = 11:14:48.540373
2025-09-11\ICS-1381\logs\icsLog.txt:[ICS] [09/11/25 10:26:10] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 128. 	Threshold = 50. 	Count = 123716. 	TimeStamp(hh:mm:ss) = 4:24:50.130507
2025-09-12\ICS-1381\logs\icsLog.txt:[ICS] [09/12/25 15:31:04] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 123. 	Threshold = 50. 	Count = 276523. 	TimeStamp(hh:mm:ss) = 9:30:25.468272
2025-09-16\ICS-1377_B\logs\icsLog.txt:[ICS] [09/16/25 16:20:30] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 0. 	Mean DeltaTime = 170. 	Threshold = 50. 	Count = 217828. 	TimeStamp(hh:mm:ss) = 10:19:51.972108
2025-09-19\ICS-1377_B\logs\icsLog.txt:[ICS] [09/19/25 10:16:42] (I) Signal DP2W, 	Rising front 	Current DeltaTime = 6. 	Mean DeltaTime = 556. 	Threshold = 200. 	Count = 27114. 	TimeStamp(hh:mm:ss) = 4:11:46.284969
2025-09-19\ICS-1377_B\logs\icsLog.txt:[ICS] [09/19/25 11:01:26] (I) Signal DP2W, 	Rising front 	Current DeltaTime = 24. 	Mean DeltaTime = 67593. 	Threshold = 200. 	Count = 6. 	TimeStamp(hh:mm:ss) = 0:7:11.050776
2025-09-23\ICS-1381\logs\icsLog.txt:[ICS] [09/23/25 08:53:13] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 120. 	Threshold = 50. 	Count = 86969. 	TimeStamp(hh:mm:ss) = 2:55:35.798254
2025-09-24\ICS-1380\logs\icsLog.txt:[ICS] [09/24/25 16:04:54] (I) Signal DP1W, 	Rising front 	Current DeltaTime = 14. 	Mean DeltaTime = 432. 	Threshold = 200. 	Count = 84494. 	TimeStamp(hh:mm:ss) = 10:10:18.702041
2025-09-24\ICS-1381\logs\icsLog.txt:[ICS] [09/24/25 14:22:47] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 124. 	Threshold = 50. 	Count = 242234. 	TimeStamp(hh:mm:ss) = 8:24:46.557705
2025-09-25\ICS-1377_B\logs\icsLog.txt:[ICS] [09/25/25 15:18:37] (I) Signal DP2W, 	Rising front 	Current DeltaTime = 6. 	Mean DeltaTime = 774. 	Threshold = 200. 	Count = 43277. 	TimeStamp(hh:mm:ss) = 9:19:2.882698
2025-09-30\ICS-1381\logs\icsLog.txt:[ICS] [09/30/25 19:35:38] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 392. 	Threshold = 50. 	Count = 119303. 	TimeStamp(hh:mm:ss) = 13:0:45.689034
2025-09-30\ICS-1381\logs\icsLog.txt:[ICS] [09/30/25 20:37:50] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 14864. 	Threshold = 50. 	Count = 3400. 	TimeStamp(hh:mm:ss) = 14:2:57.279340
2025-10-01\ICS-1381\logs\icsLog.txt:[ICS] [10/01/25 20:10:18] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1494. 	Threshold = 50. 	Count = 171. 	TimeStamp(hh:mm:ss) = 0:4:48.270200
2025-10-02\ICS-1377_B\logs\icsLog.txt:[ICS] [10/02/25 18:15:56] (I) Signal DPGP2, 	Rising front 	Current DeltaTime = 0. 	Mean DeltaTime = 691. 	Threshold = 200. 	Count = 7522. 	TimeStamp(hh:mm:ss) = 1:27:10.000564
2025-10-02\ICS-1377_B\logs\icsLog.txt:[ICS] [10/02/25 18:15:56] (I) Signal DP3W, 	Rising front 	Current DeltaTime = 0. 	Mean DeltaTime = 691. 	Threshold = 200. 	Count = 7522. 	TimeStamp(hh:mm:ss) = 1:27:10.000725
2025-10-02\ICS-1381\logs\icsLog.txt:[ICS] [10/02/25 22:11:15] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 221. 	Threshold = 50. 	Count = 423610. 	TimeStamp(hh:mm:ss) = 26:5:44.998366
2025-10-08\ICS-1377_B\logs\icsLog.txt:[ICS] [10/08/25 18:19:03] (I) Signal DP2W, 	Rising front 	Current DeltaTime = 27. 	Mean DeltaTime = 561. 	Threshold = 200. 	Count = 77594. 	TimeStamp(hh:mm:ss) = 12:6:50.660114
