2023-01-03\ICS-1412\logs\icsLog.txt:[ICS] [01/03/23 07:10:02] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 5515. 	Threshold = 50. 	Count = 302. 	TimeStamp(hh:mm:ss) = 0:29:19.225601
2023-01-03\ICS-1412\logs\icsLog.txt:[ICS] [01/03/23 11:36:25] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 2725. 	Threshold = 50. 	Count = 126. 	TimeStamp(hh:mm:ss) = 0:6:23.383651
2023-01-04\ICS-1412\logs\icsLog.txt:[ICS] [01/04/23 07:11:32] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 724. 	Threshold = 50. 	Count = 3934. 	TimeStamp(hh:mm:ss) = 0:49:52.897620
2023-01-05\ICS-1412\logs\icsLog.txt:[ICS] [01/05/23 07:00:20] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 15356. 	Threshold = 50. 	Count = 126. 	TimeStamp(hh:mm:ss) = 0:33:59.575840
2023-01-06\ICS-1412\logs\icsLog.txt:[ICS] [01/06/23 07:00:50] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 16553. 	Threshold = 50. 	Count = 122. 	TimeStamp(hh:mm:ss) = 0:35:27.748520
2023-01-10\ICS-1412\logs\icsLog.txt:[ICS] [01/10/23 07:05:41] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 3612. 	Threshold = 50. 	Count = 506. 	TimeStamp(hh:mm:ss) = 0:32:8.515446
2023-01-11\ICS-1412\logs\icsLog.txt:[ICS] [01/11/23 07:15:13] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 4531. 	Threshold = 50. 	Count = 438. 	TimeStamp(hh:mm:ss) = 0:34:51.623418
2023-01-12\ICS-1412\logs\icsLog.txt:[ICS] [01/12/23 07:21:26] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 18512. 	Threshold = 50. 	Count = 130. 	TimeStamp(hh:mm:ss) = 0:42:11.002030
2023-01-13\ICS-1412\logs\icsLog.txt:[ICS] [01/13/23 07:10:01] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 17283. 	Threshold = 50. 	Count = 166. 	TimeStamp(hh:mm:ss) = 0:50:12.635274
2023-02-13\ICS-1413-R\logs\icsLog.txt:[ICS] [02/13/23 05:54:53] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 127769. 	Threshold = 50. 	Count = 3. 	TimeStamp(hh:mm:ss) = 0:7:2.893153
2023-02-22\ICS-1414-R\logs\icsLog.txt:[ICS] [02/22/23 11:39:22] (I) Signal DBGO, 	Rising front 	Current DeltaTime = 159. 	Mean DeltaTime = 512. 	Threshold = 200. 	Count = 39893. 	TimeStamp(hh:mm:ss) = 5:55:28.894796
2023-04-12\ICS-1412\logs\icsLog.txt:[ICS] [04/12/23 11:38:28] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 9269. 	Threshold = 50. 	Count = 1769. 	TimeStamp(hh:mm:ss) = 4:45:4.157847
2023-04-13\ICS-1412\logs\icsLog.txt:[ICS] [04/13/23 06:12:52] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 332. 	Threshold = 50. 	Count = 2242. 	TimeStamp(hh:mm:ss) = 0:13:20.175320
2023-04-13\ICS-1412\logs\icsLog.txt:[ICS] [04/13/23 06:54:43] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 7014. 	Threshold = 50. 	Count = 450. 	TimeStamp(hh:mm:ss) = 0:55:10.983021
2023-04-13\ICS-1412\logs\icsLog.txt:[ICS] [04/13/23 09:55:48] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 104515. 	Threshold = 50. 	Count = 130. 	TimeStamp(hh:mm:ss) = 3:56:16.142813
2023-04-13\ICS-1412\logs\icsLog.txt:[ICS] [04/13/23 10:38:37] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 6357. 	Threshold = 50. 	Count = 2525. 	TimeStamp(hh:mm:ss) = 4:39:4.778725
2023-04-14\ICS-1412\logs\icsLog.txt:[ICS] [04/14/23 05:51:36] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 11268. 	Threshold = 50. 	Count = 130. 	TimeStamp(hh:mm:ss) = 0:25:51.456119
2023-04-17\ICS-1412\logs\icsLog.txt:[ICS] [04/17/23 06:16:58] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 467. 	Threshold = 50. 	Count = 4438. 	TimeStamp(hh:mm:ss) = 0:36:25.592986
2023-04-18\ICS-1412\logs\icsLog.txt:[ICS] [04/18/23 06:04:32] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1113. 	Threshold = 50. 	Count = 1626. 	TimeStamp(hh:mm:ss) = 0:31:51.016954
2023-04-19\ICS-1412\logs\icsLog.txt:[ICS] [04/19/23 05:54:05] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 5276. 	Threshold = 50. 	Count = 254. 	TimeStamp(hh:mm:ss) = 0:23:40.660939
2023-04-20\ICS-1412\logs\icsLog.txt:[ICS] [04/20/23 06:14:37] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1990. 	Threshold = 50. 	Count = 1108. 	TimeStamp(hh:mm:ss) = 0:38:41.175835
2023-04-20\ICS-1412\logs\icsLog.txt:[ICS] [04/20/23 10:51:18] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 3084. 	Threshold = 50. 	Count = 282. 	TimeStamp(hh:mm:ss) = 0:15:30.327525
2023-04-20\ICS-1412\logs\icsLog.txt:[ICS] [04/20/23 14:47:15] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 11759. 	Threshold = 50. 	Count = 114. 	TimeStamp(hh:mm:ss) = 0:23:40.268095
2023-04-24\ICS-1412\logs\icsLog.txt:[ICS] [04/24/23 11:45:11] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 8546. 	Threshold = 50. 	Count = 674. 	TimeStamp(hh:mm:ss) = 1:40:25.577358
2023-04-25\ICS-1412\logs\icsLog.txt:[ICS] [04/25/23 06:47:39] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 12076. 	Threshold = 50. 	Count = 306. 	TimeStamp(hh:mm:ss) = 1:4:33.675568
2023-05-02\ICS-1412\logs\icsLog.txt:[ICS] [05/02/23 14:02:03] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 170914. 	Threshold = 50. 	Count = 122. 	TimeStamp(hh:mm:ss) = 6:2:24.535190
2023-05-03\ICS-1412\logs\icsLog.txt:[ICS] [05/03/23 07:37:53] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 25424. 	Threshold = 50. 	Count = 130. 	TimeStamp(hh:mm:ss) = 0:57:46.692190
2023-05-03\ICS-1412\logs\icsLog.txt:[ICS] [05/03/23 13:36:56] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 2242. 	Threshold = 50. 	Count = 210. 	TimeStamp(hh:mm:ss) = 0:8:34.499551
2023-05-04\ICS-1412\logs\icsLog.txt:[ICS] [05/04/23 06:29:21] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 628. 	Threshold = 50. 	Count = 3798. 	TimeStamp(hh:mm:ss) = 0:41:50.271947
2023-05-04\ICS-1412\logs\icsLog.txt:[ICS] [05/04/23 07:17:27] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 627. 	Threshold = 50. 	Count = 1446. 	TimeStamp(hh:mm:ss) = 0:16:8.119247
2023-05-05\ICS-1412\logs\icsLog.txt:[ICS] [05/05/23 06:06:07] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1257. 	Threshold = 50. 	Count = 1302. 	TimeStamp(hh:mm:ss) = 0:28:52.045009
2023-05-08\ICS-1412\logs\icsLog.txt:[ICS] [05/08/23 05:58:57] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 777. 	Threshold = 50. 	Count = 1150. 	TimeStamp(hh:mm:ss) = 0:15:56.276095
2023-05-08\ICS-1414-R\logs\icsLog.txt:[ICS] [05/08/23 10:20:35] (I) Signal DPGP2, 	Rising front 	Current DeltaTime = 20. 	Mean DeltaTime = 512. 	Threshold = 200. 	Count = 18866. 	TimeStamp(hh:mm:ss) = 2:48:10.908102
2023-05-08\ICS-1414-R\logs\icsLog.txt:[ICS] [05/08/23 10:20:35] (I) Signal DP3W, 	Rising front 	Current DeltaTime = 155. 	Mean DeltaTime = 512. 	Threshold = 200. 	Count = 18860. 	TimeStamp(hh:mm:ss) = 2:48:11.069547
2023-05-08\ICS-1414-R\logs\icsLog.txt:[ICS] [05/08/23 15:31:22] (I) Signal DPGP2, 	Rising front 	Current DeltaTime = 28. 	Mean DeltaTime = 143749. 	Threshold = 200. 	Count = 119. 	TimeStamp(hh:mm:ss) = 4:57:23.166333
2023-05-09\ICS-1412\logs\icsLog.txt:[ICS] [05/09/23 06:42:41] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 518. 	Threshold = 50. 	Count = 8706. 	TimeStamp(hh:mm:ss) = 1:18:48.479791
2023-05-10\ICS-1412\logs\icsLog.txt:[ICS] [05/10/23 05:53:38] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 6897. 	Threshold = 50. 	Count = 258. 	TimeStamp(hh:mm:ss) = 0:31:19.247016
